as_of,index_name,code
2023-12-29,hs300,601229
2023-12-29,hs300,601236
2023-12-29,hs300,601238
2023-12-29,hs300,601288
2023-12-29,hs300,601318
2023-12-29,hs300,601319
2023-12-29,hs300,601328
2023-12-29,hs300,601336
2023-12-29,hs300,601360
2023-12-29,hs300,601377
2023-12-29,hs300,601390
2023-12-29,hs300,601398
2023-12-29,hs300,601600
2023-12-29,hs300,601601
2023-12-29,hs300,601607
2023-12-29,hs300,601615
2023-12-29,hs300,601618
2023-12-29,hs300,601628
2023-12-29,hs300,601633
2023-12-29,hs300,601658
2023-12-29,hs300,601668
2023-12-29,hs300,601669
2023-12-29,hs300,601688
2023-12-29,hs300,601689
2023-12-29,hs300,601698
2023-12-29,hs300,601699
2023-12-29,hs300,601728
2023-12-29,hs300,601766
2023-12-29,hs300,601788
2023-12-29,hs300,601799
2023-12-29,hs300,601800
2023-12-29,hs300,601808
2023-12-29,hs300,601816
2023-12-29,hs300,601818
2023-12-29,hs300,601838
2023-12-29,hs300,601857
2023-12-29,hs300,601865
2023-12-29,hs300,601868
2023-12-29,hs300,601872
2023-12-29,hs300,601877
2023-12-29,hs300,601878
2023-12-29,hs300,601881
2023-12-29,hs300,601888
2023-12-29,hs300,601898
2023-12-29,hs300,601899
2023-12-29,hs300,601901
2023-12-29,hs300,601916
2023-12-29,hs300,601919
2023-12-29,hs300,601939
2023-12-29,hs300,601985
2023-12-29,hs300,601988
2023-12-29,hs300,601989
2023-12-29,hs300,601995
2023-12-29,hs300,601998
2023-12-29,hs300,603019
2023-12-29,hs300,603195
2023-12-29,hs300,603259
2023-12-29,hs300,603260
2023-12-29,hs300,603288
2023-12-29,hs300,603290
2023-12-29,hs300,603369
2023-12-29,hs300,603392
2023-12-29,hs300,603486
2023-12-29,hs300,603501
2023-12-29,hs300,603659
2023-12-29,hs300,603799
2023-12-29,hs300,603806
2023-12-29,hs300,603833
2023-12-29,hs300,603899
2023-12-29,hs300,603986
2023-12-29,hs300,603993
2023-12-29,hs300,605117
2023-12-29,hs300,605499
2023-12-29,hs300,688008
2023-12-29,hs300,688012
2023-12-29,hs300,688036
2023-12-29,hs300,688041
2023-12-29,hs300,688065
2023-12-29,hs300,688111
2023-12-29,hs300,688126
2023-12-29,hs300,688187
2023-12-29,hs300,688223
2023-12-29,hs300,688256
2023-12-29,hs300,688271
2023-12-29,hs300,688303
2023-12-29,hs300,688363
2023-12-29,hs300,688396
2023-12-29,hs300,688561
2023-12-29,hs300,688599
2023-12-29,hs300,688981
2023-12-29,hs300,000001
2023-12-29,hs300,000002
2023-12-29,hs300,000063
2023-12-29,hs300,000069
2023-12-29,hs300,000100
2023-12-29,hs300,000157
2023-12-29,hs300,000166
